Plot,Subplot,Date,Surveyors,Active,Inactive,Maybe,Total,Notes
P34,21,8/12/2022,EG/LS,0,1,1,2,
K22,6,6/12/2022,"LS, EG",0,0,1,1,
N07,3,7/21/2022,EG/LS,0,0,0,0,
J19,9,7/8/2022,EG/LS,0,0,0,0,
O35,10,8/11/2022,EG/LS,2,0,0,2,
F22,5,7/10/2022,EG/LS,0,0,0,0,
L36,9,8/13/2022,EG/LS,0,0,0,0,
L09,24,6/25/2022,EG/LS/JM,0,0,0,0,
F20,17,7/9/2022,EG/LS,0,3,4,7,
G21,8,6/28/2022,EG/LS,0,0,0,0,
O33,7,8/11/2022,EG/LS,0,0,0,0,
K06,16,7/12/2022,EG/LS,2,3,0,5,
D19,16,7/9/2022,EG/LS/JM,5,6,3,14,
K35,14,8/13/2022,EG/LS,1,4,4,9,
O29,13,6/11/2022,EG,2,1,3,6,
L06,11,7/12/2022,EG/LS,14,2,0,16,
K21,24,6/12/2022,EG,0,2,0,2,
L08,24,6/25/2022,EG/LS/JM,0,0,0,0,
M17,21,7/4/2022,EG/LS,0,3,5,8,1 death
E07,25,6/17/2022,EG/LS,0,0,0,0,
L07,21,6/25/2022,EG/LS,0,0,0,0,1 pair wings
E18,20,7/30/2022,EG/LS,0,1,2,3,1 death
K33,9,6/11/2022,EG,0,0,1,1,2 HERG nests
I06,20,7/12/2022,EG/LS,0,0,0,0,1 death
J13,5,7/25/2022,EG/LS/JM,0,0,0,0,
M24,6,6/23/2022,EG,0,1,1,2,
J28,10,6/29/2022,EG/LS,0,0,0,0,
N28,6,6/18/2022,EG/LS,0,0,0,0,
I12,18,7/28/2022,EG/LS/AP,0,0,0,0,
I12,8,7/28/2023,EG/LS/AP,0,0,0,0,
L20,14,7/7/2022,EG/LS/JM,1,4,2,7,
I28,15,7/16/2022,EG/LS,0,0,0,0,
O31,8,6/18/2022,EG/LS,0,0,0,0,
O35,7,8/11/2022,EG/LS,0,0,0,0,
F19,16,7/9/2022,EG/LS,0,1,0,1,
J29,16,6/29/2022,EG/LS,0,0,0,0,
